Year,Contestant,Original script,Rank,Award
1993,Yasen Balev,Ясен Балев,56,Bronze medal
1993,Hristo Nedev,Христо Недев,,Participant
1993,Dimitar Prodanov,Димитър Проданов,,Participant
1992,Iasen Balev,Ясен Балев,,Participant
1992,Daniela Vidulova,Даниела Видулова,,Participant
1992,Galin Gechev,Галин Гечев,,Participant
1992,Daniela Tsekova,Даниела Цекова,,Participant
1991,Assen Bonev Kantchev,Асен Бонев Канчев,35,Silver medal
1991,Iavor Atanassov Nikolov,Явор Атанасов Николов,48,Bronze medal
1991,Izwietan I. Izwietkow,Цветан Цветанов,,Participant
1991,Iordan Petrov Dinov,Йордан Петров Динов,,Participant
1990,Alexander Alexandrov,Александр Александров,58,Bronze medal
1990,Tichomir Tenev,Тихомир Тенев,63,Bronze medal
1990,Krasimira Markova,Красимира Маркова,,Participant
1990,Stefan Filpov,Стефан Филипов,,Participant
1989,Tomislav Gunchev,Томислав Гунчев,1,Gold medal
1989,Nikolaj Najdenov,Николай Найденов,24,Silver medal
1989,Ralitsa Kiperova,Ралица Киперова,37,Bronze medal
1989,Alexander Alexandrov,Александр Александров,54,Bronze medal
1988,Tomislav Gunchev,Томислав Гунчев,9,Gold medal
1988,Georgi Bontchev,Георги Бончев,50,Bronze medal
1988,Kroum Valchev,Крум Вълчев,52,Bronze medal
1988,Anton Ivanov,Антон Иванов,,Participant
1987,Anton Semyonov Momchilov,Антон Момчилов,5,Gold medal
1987,Kroum Zirkov,крум зирков,57,Bronze medal
1987,Martin G. Grigorov,Мартин Григоров,64,Bronze medal
1987,Georgi B. Dimitrov,Георги Димитров,,Participant
1986,Grigor Banchev,Григор Банчев,9,Gold medal
1986,Anton Simeonov,Антон Симеонов,28,Bronze medal
1986,Vesselin Vasilev,Веселин Василев,47,Bronze medal
1986,Nadezhda Minchev,Надежда Минчеваű,,Participant
1985,Anton Semyonov Momchilov,Антон Момчилов,19,Silver medal
1985,Alekszandr Todorov Jordanov,Александр Тодоров,49,Bronze medal
1985,Pencho Tonchev Tonchev,Пенчо Тончев,50,Bronze medal
1985,Veselin Stefanov Vasilev,Веселин Стефанов,55,Bronze medal
1984,Mihail Avramov,Михаил Аврамов,31,Bronze medal
1984,Veselin Paunov,Веселин Паунов,35,Bronze medal
1984,Cvetelina Peshlejska,Цветелина Пешлейска,,Participant
1984,Ljubomira Lavcheva,Любомира Лавчева,,Participant
1983,Mihail Avramov,Михаил Аврамов,34,Bronze medal
1983,Veselin Paunov,Веселин Паунов,36,Bronze medal
1983,Cvetelina Peshlejska,Цветелина Пешлейска,42,Bronze medal
1982,Plamen Penev,Пламен Пенев,25,Bronze medal
1982,Borislav Lakov,Борислав Лаков,26,Bronze medal
1982,Orlin Velev,Орлин Велев,30,Bronze medal
1982,Emil Radkov,Емил Радков,43,Bronze medal
1981,Georgi Saraivanov,Георги Симеонов Сараиванов,4,Gold medal
1981,Georgi Vaysilov,Георги Вайсилов,15,Silver medal
1981,Angelina Angelova,Ангелина Ангелова,22,Bronze medal
1981,Roumen Tsvetanov Tsekov,Румен Цветанов Цеков,27,Bronze medal
1980,Antoni Dimitrov,Антоний Димитров,11,Silver medal
1980,Nikolai Denkov,Николай Денков,13,Silver medal
1980,Nikolai Tarkalanov,Николай Търкаланов,26,Bronze medal
1980,Peter Vekilov,Петър Векилов,42,Honorable mention
1979,Luchezar Hristov,Лучезар Христов,31,Bronze medal
1979,Teodor Gurkov,Тодор Гурков,,Participant
1979,Georgi Saraivanov,Георги Симеонов Сараиванов,,Participant
1979,Vladimir Kafedzhijski,Владимир Кафеджийски,,Participant
1978,Luchezar Hristov,Лучезар Христов,14,Silver medal
1978,Pumen Georgiev,Румен Георгиев,,Participant
1978,Slavi Sevov,Слави Севов,,Participant
1978,Petro Mandjukov,Петр Мандюков,,Participant
1977,Rosen Todorov Buyukliev,Росен Буюклиев,21,Bronze medal
1977,Nikolaj Minchev Stoinov,Николай Стойнов,30,Bronze medal
1977,Tatiana Trifonova Ivanova,Татяна Иванова,32,Bronze medal
1977,Liljana Petrova Kakamakova,Лиляна Какамакова,42,Honorable mention
1976,Ljubomir Kostadinov,Любомир Костадинов,23,3rd Prize
1976,Spas Kolev,Спас Колев,25,3rd Prize
1976,Peter Karadakov,Петър Карадаков,26,3rd Prize
1976,Snezhanka Bakalova,Снежанка Бакалова,32,Honorable mention
1975,Rumen Radinov,Румен Радинов,14,3rd Prize
1975,Konstantin Hadzhi Ivanov,Константин Иванов Хаджи,16,3rd Prize
1975,Iordan Radkov,Йордан Радков,20,Honorable mention
1975,Ivan Ivanov,Иван Иванов,23,Honorable mention
1974,Stefan Boiadjiev,Стефан Бояджиев,18,Honorable mention
1974,Margarita Todorova,Маргарита Тодорова,,Participant
1974,Veselin Petrov,Веселин Петров,,Participant
1974,Elena Mileva,Елена Милева,,Participant
1973,Valeri Kovachev,Валери Ковачев,7,3rd Prize
1973,Ognyan Argirov,Огнян Аргиров,13,3rd Prize
1973,Petar Rusev,Петър Русев,21,Honorable mention
1973,Ivan Stoilov,Иван Стоилов,22,Honorable mention
1972,Mihail Atanasov,Михаил Атанасов,,Participant
1972,Plamen Jankulov,Пламен Янкулов,,Participant
1972,Hristo Hristov,Христо Христов,,Participant
1972,Sonya Petrova,Соня Петрова,,Participant
