Year,Contestant,Original script,Rank,Award
1981,Ilkka Ovaska,Ilkka Ovaska,,Participant
1981,Petri Autio,Petri Autio,,Participant
1980,Liisa Holm,Liisa Holm,28,Bronze medal
1980,Kari Harkönen,Kari Harkönen,34,Honorable mention
1980,Jyri Roihuvuo,Jyri Roihuvuo,34,Honorable mention
1980,Paavo Honkakoski,Paavo Honkakoski,40,Honorable mention
1979,Antti Karlalainen,Antti Karlalainen,20,Bronze medal
1979,Markku Salkola,Markku Salkola,28,Bronze medal
1979,Lauri Tunkeli,Lauri Tunkeli,,Participant
1979,Arto Raassinna,Arto Raassinna,,Participant
1978,Antti Ylikoski,Antti Ylikoski,,Participant
1978,Heikki Mannila,Heikki Mannila,,Participant
1978,Yruö Koivusalo,Yruö Koivusalo,,Participant
1978,Pekka Kanerva,Pekka Kanerva,,Participant
