Year,Contestant,Original script,Rank,Award
2005,Jędrzej Kaniewski,Jędrzej Kaniewski,23,Gold medal
2005,Michał Kochman,Michał Kochman,37,Silver medal
2005,Piotr Paluch,Piotr Paluch,92,Bronze medal
2005,Anna Rydzik,Anna Rydzik,98,Bronze medal
2004,Filip Ulatowski,Filip Ulatowski,5,Gold medal
2004,Paweł Dydio,Paweł Dydio,20,Gold medal
2004,Grzegorz Jamróz,Grzegorz Jamróz,60,Silver medal
2004,Michał Zych,Michał Zych,107,Bronze medal
2003,Paweł Śledz,Paweł Śledz,26,Gold medal
2003,Łukasz Jaremko,Łukasz Jaremko,39,Silver medal
2003,Paweł Zawadzki,Paweł Zawadzki,84,Bronze medal
2003,Jeremiasz Jagiełła,Jeremiasz Jagiełła,92,Bronze medal
2002,Marcin Kałek,Marcin Kałek,4,Gold medal
2002,Jacek Bil,Jacek Bil,16,Gold medal
2002,Michał Karbownik,Michał Karbownik,63,Silver medal
2002,Wojciech Skomorowski,Wojciech Skomorowski,117,Bronze medal
2001,Łukasz Sobczak,Łukasz Sobczak,21,Gold medal
2001,Jacek Kwiendacz,Jacek Kwiendacz,26,Silver medal
2001,Piotr Duszewski,Piotr Duszewski,67,Silver medal
2001,Michal Karbownik,Michal Karbownik,103,Bronze medal
2000,Lukasz Sobczak,Lukasz Sobczak,70,Bronze medal
2000,Piotr Król,Piotr Król,83,Bronze medal
2000,Artur Stefanowicz,Artur Stefanowicz,113,Bronze medal
2000,Maciej Gorzkowski,Maciej Gorzkowski,127,Bronze medal
1999,Michal Kijak,Michal Kijak,4,Gold medal
1999,Anna Waszczuk,Anna Waszczuk,57,Silver medal
1999,Łukasz Kowalik,Łukasz Kowalik,69,Bronze medal
1999,Szymon Janczar,Szymon Janczar,83,Bronze medal
1998,Łukasz Kowalik,Łukasz Kowalik,9,Gold medal
1998,Piotr Miklaszewicz,Piotr Miklaszewicz,23,Silver medal
1998,Joanna Drozd,Joanna Drozd,37,Silver medal
1998,Karolina Agnieszka Pułka,Karolina Agnieszka Pułka,139,Honorable mention
1997,Łukasz Kowalik,Łukasz Kowalik,13,Gold medal
1997,Rafał Loska,Rafał Loska,19,Gold medal
1997,Dorota Piotrowska,Dorota Piotrowska,71,Bronze medal
1997,Michał Barbasiewicz,Michał Barbasiewicz,82,Bronze medal
1996,Adam Sikora,Adam Sikora,78,Bronze medal
1996,Marcin Rybak,Marcin Rybak,99,Bronze medal
1996,Piotr Kwiatkowski,Piotr Kwiatkowski,140,Honorable mention
