Year,Contestant,Original script,Rank,Award
2011,Smarak Maity,Smarak Maity,64,Silver medal
2011,Anant Pushkar,Anant Pushkar,116,Bronze medal
2010,Diptarka Hait,Diptarka Hait,33,Silver medal
2010,Nikunj Saunshi,Nikunj Saunshi,57,Silver medal
2010,Surendra Kotra,Surendra Kotra,62,Silver medal
2010,Amit Panghal,Amit Panghal,161,Bronze medal
2009,Abhishek Padmanabhan,Abhishek Padmanabhan,33,Silver medal
2009,Shruti Khatri,Shruti Khatri,51,Silver medal
2009,Vinayak Gagrani,Vinayak Gagrani,76,Silver medal
2009,Manikanta Kotaru,Manikanta Kotaru,78,Silver medal
2008,Gautam Agrawal,Gautam Agrawal,48,Silver medal
2008,Srujan Meesala,Srujan Meesala,57,Silver medal
2008,Praneeth Srikanti,Praneeth Srikanti,66,Silver medal
2008,Anupam Dev Goel,Anupam Dev Goel,95,Bronze medal
2007,Sumit Somani,Sumit Somani,22,Gold medal
2007,Soham Mehta,Soham Mehta,23,Gold medal
2007,Vikas Prajapati,Vikas Prajapati,46,Silver medal
2007,Immanuel Ilavarasan Thomas,Immanuel Ilavarasan Thomas,128,Bronze medal
2006,Prathmesh Prabhu,Prathmesh Prabhu,19,Gold medal
2006,Omkar Pradeep Wagh,Omkar Pradeep Wagh,34,Silver medal
2006,Rahul Goyal,Rahul Goyal,74,Silver medal
2006,Rahul Sharma,Rahul Sharma,93,Bronze medal
2005,Karthick Gopalakrishnan,Karthick Gopalakrishnan,29,Silver medal
2005,Arun Paidimarri,Arun Paidimarri,34,Silver medal
2005,Rajendra Joish,Rajendra Joish,58,Silver medal
2005,Himanshu Asnani,Himanshu Asnani,78,Bronze medal
2004,Priya Gupta,Priya Gupta,11,Gold medal
2004,Vibhav Bukkapatanam,Vibhav Bukkapatanam,51,Silver medal
2004,Sushant Sachdeva,Sushant Sachdeva,87,Bronze medal
2004,Sudeep Uday Kamath,Sudeep Uday Kamath,92,Bronze medal
2003,Yashodhan Kanoria,Yashodhan Kanoria,2,Gold medal
2003,Aravindan Vijayaraghavan,Aravindan Vijayaraghavan,13,Gold medal
2003,Vikram Balasubramanian,Vikram Balasubramanian,76,Silver medal
2003,Kiran Chikkadi,Kiran Chikkadi,81,Silver medal
2002,Sumit Kumar,Sumit Kumar,3,Gold medal
2002,Salim Dewani,Salim Dewani,18,Gold medal
2002,Arjun Krishnan,Arjun Krishnan,97,Bronze medal
2002,Shriram Shivaraman,Shriram Shivaraman,106,Bronze medal
2001,Soubhagya Sahoo,Soubhagya Sahoo,13,Gold medal
2001,Vivek Kumar,Vivek Kumar,34,Silver medal
2001,Avinash Varna,Avinash Varna,42,Silver medal
2001,Aditya Banerjee,Aditya Banerjee,59,Silver medal
2000,Praval Jain,Praval Jain,36,Silver medal
2000,Sriram Sridharan,Sriram Sridharan,67,Silver medal
2000,Anand Kumar Sinha,Anand Kumar Sinha,119,Bronze medal
2000,George Paily,George Paily,133,Bronze medal
1999,Deepak Garg,Deepak Garg,26,Silver medal
1999,N. Chandrashekhar,N. Chandrashekhar,62,Silver medal
1999,Vikas Bansal,Vikas Bansal,97,Bronze medal
1999,Vineet Goyal,Vineet Goyal,114,Bronze medal
