Year,Contestant,Original script,Rank,Award
1986,Einar Halvorsen,Einar Halvorsen,50,Bronze medal
1986,Stig Olav Aksdal,Stig Olav Aksdal,,Participant
1986,Terje Didriksen,Terje Didriksen,,Participant
1985,Jon Ruud Aage,Jon Ruud Aage,40,Bronze medal
1985,Tor Erik Jeremiassen,Tor Erik Jeremiassen,52,Bronze medal
1985,Reidar Jörgen Husmo,Reidar Jörgen Husmo,,Participant
1985,Siv Aasland,Siv Aasland,,Participant
1984,Per Norman Oma,Per Norman Oma,45,Bronze medal
1984,Erik Sandersen,Erik Sandersen,,Participant
1984,Ingvill Hagesaether,Ingvill Hagesaether,,Participant
1984,Ernst Johansen,Ernst Johansen,,Participant
1983,John Rognes,John Rognes,29,Bronze medal
1983,Elling Henrik Disen,Elling Henrik Disen,,Participant
1983,Kristian Fossen,Kristian Fossen,,Participant
1983,Håvard Helstrup,Håvard Helstrup,,Participant
1982,Morten Hovd,Morten Hovd,36,Bronze medal
1982,Vagstad Steinar,Vagstad Steinar,37,Bronze medal
1982,Ola Martin Lykkja,Ola Martin Lykkja,,Participant
1982,Trine Tveter,Trine Tveter,,Participant
