Year,Contestant,Original script,Rank,Award
1987,Gábor Takács,Takács Gábor,27,Silver medal
1987,András Kotschy,Kotschy András,32,Silver medal
1987,József Dobó,Dobó József,38,Bronze medal
1987,Árpád Dobolyi,Dobolyi Árpád,47,Bronze medal
1986,Balázs Halmos,Halmos Balázs,26,Silver medal
1986,Balázs Szamosfalvi,Szamosfalvi Balázs,31,Bronze medal
1986,Tamás Tóth,Tóth Tamás,32,Bronze medal
1986,Éva Csikós,Csikós Éva,43,Bronze medal
1985,Zoltán Vass,Vass Zoltán,26,Silver medal
1985,Ernő Varga,Varga Ernő,28,Silver medal
1985,Tamás Tóth,Tóth Tamás,30,Silver medal
1985,Balázs Halmos,Halmos Balázs,38,Bronze medal
1984,Csaba Judik,Judik Csaba,6,Gold medal
1984,Sándor Németh,Németh Sándor,10,Silver medal
1984,László Turi,Turi László,18,Silver medal
1984,Gábor Mikala,Mikala Gábor,18,Silver medal
1983,Dezső Horváth,Horváth Dezső,10,Silver medal
1983,András Stirling,Stirling András,15,Silver medal
1983,Sándor Németh,Németh Sándor,27,Bronze medal
1983,László Balázs,Balázs László,38,Bronze medal
1982,Richárd Hargitai,Hargitai Richárd,5,Gold medal
1982,József Répási,Répási József,15,Silver medal
1982,Tamás Nagy,Nagy Tamás,32,Bronze medal
1982,László Balázs,Balázs László,,Participant
1981,József Répási,Répási József,2,Gold medal
1981,Zoltán Fekete,Fekete Zoltán,10,Silver medal
1981,Ferenc Garay,Garay Ferenc,13,Silver medal
1981,Tamás Schweighoffer,Schweighoffer Tamás,28,Bronze medal
1980,János Varga,Varga János,6,Gold medal
1980,Zsolt Böcskei,Böcskei Zsolt,8,Silver medal
1980,Erzsébet Gulyás,Gulyás Erzsébet,23,Bronze medal
1980,Zoltán Fekete,Fekete Zoltán,29,Bronze medal
1979,János Varga,Varga János,11,Silver medal
1979,Csaba Koncz,Koncz Csaba,24,Bronze medal
1979,Zsolt Böcskei,Böcskei Zsolt,26,Bronze medal
1979,Noémi Nagy,Nagy Noémi,,Participant
1978,Zoltán Szomor,Szomor Zoltán,15,Silver medal
1978,János Botyánszky,Botyánszky János,23,Bronze medal
1978,Zoltán Homonnay,Homonnay Zoltán,26,Bronze medal
1978,Ágnes Lakatos,Lakatos Ágnes,26,Bronze medal
1977,János Vass,Vass János,7,Silver medal
1977,Tamás Jankó,Jankó Tamás,7,Silver medal
1977,Ferenc Auth,Auth Ferenc,16,Silver medal
1977,Károly Nagy,Nagy Károly,36,Bronze medal
1976,Tamás Jankó,Jankó Tamás,1,1st Prize
1976,János Rohonczy,Rohonczy János,6,1st Prize
1976,Péter Csermely,Csermely Péter,12,2nd Prize
1976,Zoltán Hórvölgyi,Hórvölgyi Zoltán,30,Honorable mention
1975,Tamás Fekete,Fekete Tamás,5,2nd Prize
1975,György Bánhegyi,Bánhegyi György,6,2nd Prize
1975,Péter Tari,Tari Péter,10,3rd Prize
1975,János Rohonczy,Rohonczy János,13,3rd Prize
1974,Csaba Lendvay,Lendvay Csaba,7,3rd Prize
1974,Attila Demeter,Demeter Attila,16,Honorable mention
1974,Tamás Korányi,Korányi Tamás,18,Honorable mention
1974,György Bánhegyi,Bánhegyi György,18,Honorable mention
1973,Attila Demeter,Demeter Attila,10,3rd Prize
1973,Csaba Lendvay,Lendvay Csaba,14,3rd Prize
1973,Tamás Korányi,Korányi Tamás,20,Honorable mention
1973,Sándor Barcsai,Barcsai Sándor,23,Honorable mention
1972,Tamás Borlay,Borlay Tamás,,Participant
1972,István Jalsovszky,Jalsovszky István,,Participant
1972,László Daruházi,Daruházi László,,Participant
1972,László Kawka,Kawka László,,Participant
1970,László Lex,Lex László,3,3rd Prize
1970,György Irinyi,Irinyi György,,Participant
1970,Ákos Vértes,Vértes Ákos,,Participant
1970,Ferenc Kilár,Kilár Ferenc,,Participant
1969,Miklós Pécs,Pécs Miklós,,Participant
1969,László Vincze,Vincze László,,Participant
1969,Zoltán Ecsery,Ecsery Zoltán,,Participant
1969,Iván Sonkoly,Sonkoly Iván,,Participant
1969,László Csutorás,Csutorás László,,Participant
1968,Endre Fuggerth,Fuggerth Endre,1,1st Prize
1968,György Szvoboda,Szvoboda György,,Participant
1968,János Váradi,Váradi János,,Participant
1968,György Zsombok,Zsombok György,,Participant
1968,Gábor Bajnóczy,Bajnóczy Gábor,,Participant
1968,János Deli,Deli János,,Participant
