Year,Contestant,Original script,Rank,Award
2001,Adrian Claudiu Prisnel,Adrian Claudiu Prisnel,46,Silver medal
2001,Daniel Nedelcu,Daniel Nedelcu,65,Silver medal
2001,Sergiu Sima,Sergiu Sima,75,Bronze medal
2000,Christian Jitianu,Christian Jitianu,78,Bronze medal
2000,Florin Istrate,Florin Istrate,135,Honorable mention
2000,Mihai Raducanu,Mihai Raducanu,136,Honorable mention
2000,Sabina Alistar,Sabina Alistar,146,Honorable mention
1999,Mihai Grecu,Mihai Grecu,11,Gold medal
1999,Cristian Gradinaru,Cristian Gradinaru,12,Gold medal
1999,George Iancu,George Iancu,33,Silver medal
1999,Maces Danut,Maces Danut,54,Silver medal
1998,Bogdan-Ionut Fedeleş,Bogdan-Ionut Fedeleş,27,Silver medal
1998,Cristian Gradinaru,Cristian Gradinaru,70,Bronze medal
1998,Mihai Grecu,Mihai Grecu,84,Bronze medal
1998,Alexandru Suciu,Alexandru Suciu,90,Bronze medal
1997,Alexandru Suciu,Alexandru Suciu,4,Gold medal
1997,Theodor Agapie,Theodor Agapie,56,Silver medal
1997,Bogdan-Ipnut Fedeleş,Bogdan-Ipnut Fedeleş,65,Bronze medal
1997,Cristina Radulescu,Cristina Radulescu,127,Honorable mention
1996,Claudiu Adrian Giurumescu,Claudiu Adrian Giurumescu,30,Silver medal
1996,Theodor Agapia,Theodor Agapia,35,Silver medal
1996,Alexandru loan Popa,Alexandru loan Popa,49,Silver medal
1996,Claudiu Constantinescu,Claudiu Constantinescu,62,Bronze medal
1995,Alexandru Ioan Popa,Alexandru Ioan Popa,11,Gold medal
1995,Leonard Mada,Leonard Mada,12,Gold medal
1995,Stefan Alexandru Carp,Stefan Alexandru Carp,26,Silver medal
1995,Liviu Mirică,Liviu Mirică,33,Silver medal
1994,Liviu Mirică,Liviu Mirică,6,Gold medal
1994,Stefan Alexandru Carp,Stefan Alexandru Carp,43,Silver medal
1994,Alina Mihaela Vrabioiu,Alina Mihaela Vrabioiu,60,Bronze medal
1994,Leonard Mada,Leonard Mada,103,Honorable mention
1993,Florin M. Musteata,Florin M. Musteata,34,Silver medal
1993,Lucian Ionescu,Lucian Ionescu,44,Silver medal
1993,Radu Ion Iftinie,Radu Ion Iftinie,53,Bronze medal
1993,Clement V. Sova,Clement V. Sova,65,Bronze medal
1992,Simona Ardelean,Simona Ardelean,24,Silver medal
1992,Cristian Vasile Diaconu,Cristian Vasile Diaconu,36,Silver medal
1992,Marian Daniel Spantulescu,Marian Daniel Spantulescu,39,Silver medal
1992,Madalin Madalan,Madalin Madalan,72,Bronze medal
1991,Cristian Predescu,Cristian Predescu,4,Gold medal
1991,Florian Stoica,Florian Stoica,7,Gold medal
1991,Maria Ramneantu,Maria Ramneantu,24,Silver medal
1991,Adrian Tanasescu,Adrian Tanasescu,31,Bronze medal
1990,Mihai Iuga,Mihai Iuga,23,Silver medal
1990,Dana-Iona Marcu,Dana-Iona Marcu,26,Silver medal
1990,Cosmin Saveanu,Cosmin Saveanu,27,Silver medal
1990,Florian Stoica,Florian Stoica,28,Silver medal
1989,Narcis Avarvari,Narcis Ciprian Avarvari,15,Silver medal
1989,Radu Tutuian,Radu Tutuian,17,Silver medal
1989,Sorin Cristescu,Sorin Cristescu,46,Bronze medal
1989,Corneliu Vulpe,Corneliu Vulpe,,Participant
1988,Andrada-Sabina Zurac,Andrada-Sabina Zurac,12,Gold medal
1988,Emil Tripa,Emil Tripa,28,Silver medal
1988,Costica Aloman,Costica Aloman,47,Bronze medal
1988,Jenel Vatamanu,Jenel Vatamanu,,Participant
1987,Traian Sulea,Traian Sulea,9,Gold medal
1987,Adrian Şalic,Adrian Şalic,9,Gold medal
1987,Marilena Gîlcă,Marilena Gîlcă,17,Silver medal
1987,Mihai Barboiu,Mihai Barboiu,43,Bronze medal
1986,Dorin Borza,Dorin Borza,14,Silver medal
