Year,Contestant,Original script,Rank,Award
1987,Kurt van Passen,Kurt van Passen,,Participant
1987,Frank Pieron,Frank Pieron,,Participant
1987,Caroline van Hulle,Caroline van Hulle,,Participant
1986,Werner Rammelaere,Werner Rammelaere,38,Bronze medal
1986,Frank Candries,Frank Candries,53,Bronze medal
1986,Sophie Lucas,Sophie Lucas,,Participant
1986,Didier Bernardi,Didier Bernardi,,Participant
1985,Glenn Creten,Glenn Creten,59,Bronze medal
1985,Mark Vanderkelen,Mark Vanderkelen,,Participant
1985,Pascal Maes,Pascal Maes,,Participant
1985,Birgit Debrabandere,Birgit Debrabandere,,Participant
1984,Bart Cappelle,Bart Cappelle,,Participant
1984,Annik van den Bruel,Annik van den Bruel,,Participant
1980,Laurent Dejardin,Laurent Dejardin,46,Honorable mention
1980,Joel Loutte,Joel Loutte,47,Honorable mention
1980,Rudie de Maesseneer,Rudie de Maesseneer,48,Honorable mention
1980,Marc Pelgrims,Marc Pelgrims,49,Honorable mention
1977,Maria Smeets,Maria Smeets,41,Honorable mention
1977,Marc Emil Huybrechts,Marc Emil Huybrechts,44,Honorable mention
1977,Carine De Taeye,Carine De Taeye,46,Honorable mention
1977,Martin van Ooste,Martin van Ooste,47,Honorable mention
1976,Dirk Michiels,Dirk Michiels,,Participant
1976,Christian Vinoke,Christian Vinoke,,Participant
1975,Luc Mercken,Luc Mercken,,Participant
1975,Rose-Marie Tarte,Rose-Marie Tarte,,Participant
1975,Martine Magotteaux,Martine Magotteaux,,Participant
1975,Martine Delacuvellerie,Martine Delacuvellerie,,Participant
