Year,Contestant,Original script,Rank,Award
2006,Yunus Emre Şentürk,Yunus Emre Şentürk,151,Bronze medal
2006,İlhan Hekimsoy,İlhan Hekimsoy,159,Bronze medal
2005,Mehmet Talha Kutlu,Mehmet Talha Kutlu,42,Silver medal
2005,M. Kadir Deliömeroğlu,M. Kadir Deliömeroğlu,45,Silver medal
2005,Ayşe Burcu Akay,Ayşe Burcu Akay,81,Bronze medal
2005,Taha Bilal Uyar,Taha Bilal Uyar,107,Bronze medal
2004,Hasan Arslan,Hasan Arslan,16,Gold medal
2004,Mehmet Talha Kutlu,Mehmet Talha Kutlu,49,Silver medal
2004,Tugrul Nalbantoglu,Tugrul Nalbantoglu,65,Silver medal
2004,Derya Karnas,Derya Karnas,72,Silver medal
2003,Güneş N. Güngördü,Güneş N. Güngördü,64,Silver medal
2003,Arzu Karaman,Arzu Karaman,97,Bronze medal
2003,Sencer Selçuk,Sencer Selçuk,127,Bronze medal
2003,Serap Aksu,Serap Aksu,143,Bronze medal
2002,Seraphine Valeska Wegner,Seraphine Valeska Wegner,29,Silver medal
2002,Gökhan Barin,Gökhan Barin,65,Silver medal
2002,Betül Özkalay,Betül Özkalay,77,Bronze medal
2002,Murat Küçükdişli,Murat Küçükdişli,81,Bronze medal
2001,Yunus Emre Turkmen,Yunus Emre Turkmen,6,Gold medal
2001,Murat Kucukdi-li,Murat Kucukdi-li,24,Silver medal
2001,Ali Erayman,Ali Erayman,36,Silver medal
2001,Betul Karadedeli,Betul Karadedeli,44,Silver medal
2000,Yunus Emre Türkmen,Yunus Emre Türkmen,15,Gold medal
2000,Hakan Usta,Hakan Usta,38,Silver medal
2000,Hakki Bagci,Hakki Bagci,40,Silver medal
2000,Murat Sümbül,Murat Sümbül,97,Bronze medal
1999,Selim Hanay,Selim Hanay,3,Gold medal
1999,Hakan Usta,Hakan Usta,70,Bronze medal
1999,Omer Cengel,Omer Cengel,85,Bronze medal
1999,Umut Arslan,Umut Arslan,98,Bronze medal
1998,Erhan Okuyan,Erhan Okuyan,82,Bronze medal
1998,Ali Canlier,Ali Canlier,87,Bronze medal
1998,Cafer T. Yavuz,Cafer T. Yavuz,94,Bronze medal
1998,Selim Hanay,Selim Hanay,99,Bronze medal
1997,Salih Ozcubukcu,Salih Ozcubukcu,1,Gold medal
1997,Cafer Tayyar Yavuz,Cafer Tayyar Yavuz,33,Silver medal
1997,Murat Evren Kara,Murat Evren Kara,37,Silver medal
1997,Ali Canlier,Ali Canlier,39,Silver medal
1996,Murat Evren Kara,Murat Evren Kara,31,Silver medal
1996,Salih Uzcubukcu,Salih Uzcubukcu,42,Silver medal
1996,Mustafa Demirplak,Mustafa Demirplak,59,Silver medal
1996,Oguz Erdogan,Oguz Erdogan,106,Bronze medal
1995,Rahmi Ilkilic,Rahmi Ilkilic,42,Silver medal
1995,Bengu Sezen,Bengu Sezen,67,Bronze medal
1995,Mustafa Demirplak,Mustafa Demirplak,68,Bronze medal
1995,Salih Ozcubukcu,Salih Ozcubukcu,72,Bronze medal
1994,Serdar Bulut,Serdar Bulut,,Participant
1994,Ilhan Kocar,Ilhan Kocar,,Participant
1978,Irfan Töz,Irfan Töz,22,Bronze medal
1978,Tanju Altinseven,Tanju Altinseven,,Participant
1978,Gökce Erverdi,Gökce Erverdi,,Participant
1978,Dora Aksoy,Dora Aksoy,,Participant
