Year,Contestant,Original script,Rank,Award
1989,Claus Caroe,Claus Caroe,,Participant
1989,Rikke Lolck,Rikke Lolck,,Participant
1989,Morgens Larsen,Morgens Larsen,,Participant
1988,Lars Salquist,Lars Salquist,58,Bronze medal
1988,Christina Toennesen,Christina Tönnesen,,Participant
1988,Kim Kristiansen,Kim Kristiansen,,Participant
1988,Pernille Koefoed,Pernille Koefoed,,Participant
1987,Soren Vagn Andersen,Soren Vagn Andersen,47,Bronze medal
1987,Nicholas Kristensen,Nicholas Kristensen,,Participant
1987,Lisanne Kragh Pedersen,Lisanne Kragh Pedersen,,Participant
1987,Ken Museth,Ken Museth,,Participant
1986,Karl Vejrup,Karl Vejrup,48,Bronze medal
1986,Claus Bunkenborg,Claus Bunkenborg,,Participant
1986,Anne Mette Buhl,Anne Mette Buhl,,Participant
1986,Ken Museth,Ken Museth,,Participant
1985,Jesper Lohse,Jesper Lohse,56,Bronze medal
1985,Mette Riis,Mette Riis,61,Bronze medal
1985,Karl Ventzel Vejrup,Karl Ventzel Vejrup,,Participant
1984,Claus Nerlov,Claus Nerlov,6,Gold medal
1984,Jesper Bendix,Jesper Bendix,21,Silver medal
1984,Jesper Lohse,Jesper Lohse,,Participant
1984,Anders Host-Madsen,Anders Host-Madsen,,Participant
1983,Claus Nerlov,Claus Nerlov,19,Silver medal
1983,Peter Bundgaard,Peter Bundgaard,28,Bronze medal
1983,Troels Kjær,Kjær,,Participant
1983,Per Vedsø,Per Vedsø,,Participant
1982,Peter Bundgaard,Peter Bundgaard,31,Bronze medal
1982,Kirstine Lintrup,Kirstine Lintrup,,Participant
1982,Niels Birger Ramsing,Niels Birger Ramsing,,Participant
1982,Lars Kobberø Skov,Lars Kobberø Skov,,Participant
